Event Description,Year,outage_start_date,power_supplier,location,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,duration,state,outage_type
Severe Weather - Hurricane Sandy,2012,10/29/2012,Baltimore Gas & Electric Company,Maryland,RFC,0,"219,000","severe weather, hurricane/tropical storm",41.78333333333333,Maryland,Severe Weather
Physical Attack; Vandalism,2012,10/29/2012,City of Tacoma (TPWR),Washington,WECC,0,0,"vandalism, physical",0.016666666666666666,Washington,Physical Attack
Severe Weather - Nor'easter,2012,10/29/2012,American Electric Power,Ohio,"RFC, SERC",Unknown,"173,273","severe weather, storm",82.0,Ohio,Severe Weather
Severe Weather - Hurricane Sandy,2012,10/29/2012,ISO New England/REMVEC,Massachusetts,NPCC,Unknown,"50,000","severe weather, hurricane/tropical storm",58.75,Massachusetts,Severe Weather
Severe Weather - Hurricane Sandy,2012,10/29/2012,Exelon Corporation/PECO,Pennsylvania,RFC,Unknown,"850,000","severe weather, hurricane/tropical storm",186.5,Pennsylvania,Severe Weather
Physical Attack; Vandalism,2012,10/25/2012,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",0.65,Delaware,Physical Attack
Physical Attack; Vandalism,2012,10/25/2012,Black Hills/Colorado Elec.Util,Colorado,WECC,0,0,"vandalism, physical",3.35,Colorado,Physical Attack
Physical Attack; Vandalism,2012,10/25/2012,Potomac Electric Power Company (PEPCO),Maryland,RFC,,,"vandalism, physical",0.016666666666666666,Maryland,Physical Attack
Physical Attack; Vandalism,2012,10/24/2012,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",0.016666666666666666,Delaware,Physical Attack
Physical Attack; Vandalism,2012,10/24/2012,Potomac Electric Power Company (PEPCO),Maryland,RFC,0,0,"vandalism, physical",0.016666666666666666,Maryland,Physical Attack
Suspected Physical Attack,2012,10/24/2012,Potomac Electric Power Company (PEPCO),Maryland,RFC,0,0,"vandalism, physical",0.016666666666666666,Maryland,Physical Attack
Transmission System Interruption,2012,10/23/2012,"Crawfordsville Electric, Light & Power",Indiana,RFC,49,"9,800",transmission interruption,0.1,Indiana,Transmission and Distribution Issues
Physical Attack; Vandalism,2012,10/22/2012,Potomac Electric Power Company (PEPCO),Maryland,RFC,0,0,"vandalism, physical",0.016666666666666666,Maryland,Physical Attack
Vandalism; Theft,2012,10/15/2012,ISO New England,Vermont,NPCC,0,0,"vandalism, physical",0.016666666666666666,Vermont,Physical Attack
Electrical System Separation (Islanding),2012,10/14/2012,Pacific Gas & Electric Co,California,WECC,3,"2,035",islanding,0.23333333333333334,California,Electrical System Issues
Vandalsim,2012,10/11/2012,Potomac Electric Power Company (PEPCO),Maryland,RFC,0,0,vandalism,0.016666666666666666,Maryland,Physical Attack
Vandalsim,2012,10/9/2012,Potomac Electric Power Company (PEPCO),Maryland,RFC,0,0,vandalism,0.016666666666666666,Maryland,Physical Attack
Suspected Physical Attack,2012,10/5/2012,Western Area Power Authority - Sierra Nevada Region,California,WECC,,,"vandalism, physical",0.3333333333333333,California,Physical Attack
