Event Description,Year,outage_start_date,power_supplier,location,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,duration,state,outage_type
Severe Weather - Thunderstorms,2012,7/26/2012,American Electric Power (AEP),Ohio,RFC,Unknown,"57,054","severe weather, thunderstorm",22.866666666666667,Ohio,Severe Weather
Severe Weather - Thunderstorms,2012,7/24/2012,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"330,000","severe weather, thunderstorm",14.5,Illinois,Severe Weather
Severe Weather - Thunderstorms,2012,7/24/2012,Northern Indiana Public Service Company,Indiana,RFC,,"82,621","severe weather, thunderstorm",9.483333333333333,Indiana,Severe Weather
Severe Weather; Equipment Failure,2012,7/21/2012,Lubbock Power and Light,Texas,SPP,220,"70,000","severe weather, equipment failure",3.0166666666666666,Texas,Severe Weather
Vandalism,2012,7/19/2012,Delmarva Power & Light Company,Delaware,RFC,,,vandalism,0.016666666666666666,Delaware,Physical Attack
Severe Weather - Thunderstorms,2012,7/18/2012,Duke Energy Midwest,Indiana,RFC,480,"103,000","severe weather, thunderstorm",33.7,Indiana,Severe Weather
Severe Weather - Thunderstorms,2012,7/18/2012,American Electric Power (AEP),Ohio,RFC,Unknown,"67,000","severe weather, thunderstorm",2.75,Ohio,Severe Weather
Severe Weather - Thunderstorms,2012,7/18/2012,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"181,000","severe weather, thunderstorm",7.0,Illinois,Severe Weather
Public Appeal to Reduce Energy Usage,2012,7/16/2012,North Little Rock Electric Department,Arkansas,SPP,,,public appeal,1.0333333333333334,Arkansas,Public Appeal
Severe Weather - Thunderstorms,2012,7/7/2012,PPL Electric Utilities Corp,Pennsylvania,RFC,,"64,500","severe weather, thunderstorm",64.9,Pennsylvania,Severe Weather
Fuel Supply Deficiency (Water),2012,7/7/2012,California Department of Water Resources,California,WECC,Unknown,0,"fuel supply emergency, hydro",72.0,California,Fuel Supply Emergency
Vandalism,2012,7/6/2012,City of Tacoma - TPWR,Washington,WECC,,,vandalism,0.016666666666666666,Washington,Physical Attack
Severe Weather - Thunderstorms,2012,7/5/2012,Consumers Energy,Michigan,RFC,Unknown,"111,000","severe weather, thunderstorm",32.5,Michigan,Severe Weather
Severe Weather - Wind & Storms,2012,7/5/2012,Tennessee Valley Authority (TVA),Tennessee,SERC,,"50,001","severe weather, wind, storm",21.0,Tennessee,Severe Weather
Severe Weather - Thunderstorms,2012,7/1/2012,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"320,000","severe weather, thunderstorm",50.0,Illinois,Severe Weather
Public Appeal to Reduce Electricity Usage,2012,6/30/2012,Tennessee Valley Authority (TVA),Tennessee,SERC,UNK,UNK,public appeal,45.0,Tennessee,Public Appeal
Severe Weather - Thunderstorms,2012,6/30/2012,"Southern Maryland Electric Cooperative, Inc.",Maryland,RFC,354,"60,000","severe weather, thunderstorm",33.68333333333334,Maryland,Severe Weather
Severe Weather - Thunderstorms,2012,6/30/2012,Delmarva Power & Light Company,Maryland,RFC,0,"86,390","severe weather, thunderstorm",72.0,Maryland,Severe Weather
Severe Weather - Thunderstorms,2012,6/29/2012,Duke Energy Midwest,Ohio,RFC,"2,946","4,645,572","severe weather, thunderstorm",78.73333333333333,Ohio,Severe Weather
Public Appeal to Reduce Electricity Usage,2012,6/29/2012,Entergy,Arkansas,SERC,45,"7,935",public appeal,5.0,Arkansas,Public Appeal
Severe Weather - Thunderstorms,2012,6/29/2012,FirstEnergy (Potomac Edison),Virginia,RFC,UNK,"145,000","severe weather, thunderstorm",192.71666666666667,Virginia,Severe Weather
Severe Weather - Thunderstorms,2012,6/29/2012,Dayton Power & Light,Ohio,RFC,500,"175,000","severe weather, thunderstorm",123.83333333333333,Ohio,Severe Weather
Severe Weather - Thunderstorms,2012,6/29/2012,American Electric Power (AEP),Virginia,RFC,UNK,"1,355,919","severe weather, thunderstorm",72.0,Virginia,Severe Weather
Severe Weather - Thunderstorms,2012,6/29/2012,Dominion,Virginia,SERC,"5,000","880,000","severe weather, thunderstorm",113.11666666666667,Virginia,Severe Weather
Severe Weather - Thunderstorms,2012,6/29/2012,Baltimore Gas & Electric Company (BGE),Maryland,RFC,"1,465","600,000","severe weather, thunderstorm",133.11666666666667,Maryland,Severe Weather
Physical Attack,2012,6/29/2012,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",0.0,Delaware,Physical Attack
Severe Weather - Thunderstorms,2012,6/29/2012,FirstEnergy (Mon Power),Virginia,RFC,700,"265,000","severe weather, thunderstorm",159.6,Virginia,Severe Weather
Severe Weather - Thunderstorms,2012,6/29/2012,Exelon Corporation/ComEd,Illinois,RFC,UNK,"109,000","severe weather, thunderstorm",2.5,Illinois,Severe Weather
Severe Weather - Wind & Rain,2012,6/25/2012,Dominion,Virginia,SERC,600,"190,000","severe weather, wind, rain",21.683333333333334,Virginia,Severe Weather
Load Shed,2012,6/23/2012,ISO New England,Massachusetts,NPCC,51,"29,250",load shedding,0.5166666666666667,Massachusetts,Load Shedding
Severe Weather - Thunderstorms,2012,6/19/2012,Xcel Energy,Minnesota,MRO,UNK,"68,200","severe weather, thunderstorm",42.5,Minnesota,Severe Weather
Fuel Supply Deficiency (Water),2012,6/19/2012,California Department of Water Resources,California,WECC,UNK,UNK,"fuel supply emergency, hydro",48.0,California,Fuel Supply Emergency
Severe Weather - Thunderstorms,2012,6/12/2012,CenterPoint Energy,Texas,TRE,920,"175,000","severe weather, thunderstorm",37.0,Texas,Severe Weather
Severe Weather - Thunderstorms,2012,6/11/2012,Southern Company,Georgia,SERC,368,"110,591","severe weather, thunderstorm",19.166666666666668,Georgia,Severe Weather
Load Shed,2012,6/8/2012,Public Service Company of Colorado,Colorado,WECC,120,"30,379",load shedding,0.08333333333333333,Colorado,Load Shedding
Vandalism,2012,6/6/2012,Potomac Electric Power Company (PEPCO),Washington,RFC,0,0,vandalism,0.0,Washington,Physical Attack
Vandalism,2012,6/2/2012,Pacific Gas and Electric Company,California,WECC,,,vandalism,4.083333333333333,California,Physical Attack
Physical Attack,2012,5/31/2012,American Electric Power (AEP),Ohio,RFC,0,0,"vandalism, physical",4.75,Ohio,Physical Attack
Physical Attack,2012,5/29/2012,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",1.1666666666666667,Washington,Physical Attack
Severe Weather - Thunderstorms,2012,5/29/2012,Oklahoma Gas & Electric,Oklahoma,SPP,UNK,"112,000","severe weather, thunderstorm",37.416666666666664,Oklahoma,Severe Weather
Severe Weather - Thunderstorms,2012,5/29/2012,Oklahoma Gas & Electric,Oklahoma,SPP,UNK,"112,000","severe weather, thunderstorm",37.416666666666664,Oklahoma,Severe Weather
Physical Attack,2012,5/24/2012,ISO New England,Massachusetts,NPCC,UNK,UNK,"vandalism, physical",26.15,Massachusetts,Physical Attack
Vandalism,2012,5/11/2012,Tacoma Power (TPWR),Washington,WECC,,,vandalism,0.25,Washington,Physical Attack
Load Shed/Severe Weather  - Lightning Storm,2012,5/7/2012,American Electric Power (AEP),Ohio,RFC,420,1,"load shedding, severe weather, thunderstorm",0.35,Ohio,Severe Weather
Vandalism,2012,5/7/2012,ISO New England,Vermont,NPCC,0,0,vandalism,1.1666666666666667,Vermont,Physical Attack
Suspected Physical Attack,2012,4/23/2012,Seattle City Light,Washington,WECC,,,"vandalism, physical",3.65,Washington,Physical Attack
Suspected Physical Attack,2012,4/23/2012,Northern Indiana Public Service Company (NIPSCO),Indiana,RFC,,,"vandalism, physical",4.6,Indiana,Physical Attack
Physical Attack,2012,4/21/2012,ISO New England,Massachusetts,NPCC,,,"vandalism, physical",5.116666666666666,Massachusetts,Physical Attack
Suspected Physical Attack,2012,4/21/2012,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",43.58333333333333,Washington,Physical Attack
Severe Weather - Thunderstorms,2012,4/20/2012,CenterPoint Energy,Texas,TRE,,"120,377","severe weather, thunderstorm",14.0,Texas,Severe Weather
Suspected Physical Attack,2012,4/19/2012,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",8.116666666666667,Washington,Physical Attack
Suspected Physical Attack,2012,4/17/2012,San Diego Gas & Electric Company,California,WECC,0,0,"vandalism, physical",11.616666666666667,California,Physical Attack
Severe Weather - High Winds,2012,4/16/2012,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,218,"111,393","severe weather, wind",58.233333333333334,Michigan,Severe Weather
Suspected Physical Attack,2012,4/15/2012,Southern Company,Georgia,SERC,UNK,UNK,"vandalism, physical",1.8,Georgia,Physical Attack
Suspected Physical Attack,2012,4/12/2012,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",8.366666666666667,Washington,Physical Attack
Vandalism,2012,4/11/2012,North Attleborough Electric Department,Massachusetts,NPCC,0,0,vandalism,0.0,Massachusetts,Physical Attack
Physical Attack,2012,4/7/2012,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",0.016666666666666666,Delaware,Physical Attack
Physical Attack,2012,4/7/2012,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",0.016666666666666666,Delaware,Physical Attack
Physical Attack,2012,4/7/2012,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",0.016666666666666666,Delaware,Physical Attack
Suspected Physical Attack,2012,4/4/2012,Western Area Power Authority - Sierra Nevada Region (WASN),California,WECC,,,"vandalism, physical",47.96666666666667,California,Physical Attack
Physical Attack,2012,4/3/2012,Seattle City Light,Washington,WECC,0,0,"vandalism, physical",4.866666666666666,Washington,Physical Attack
Vandalism,2012,4/3/2012,ISO New England,Vermont,NPCC,0,0,vandalism,0.25,Vermont,Physical Attack
Vandalism,2012,4/1/2012,Mid American Energy Company,Iowa,MRO,0,0,vandalism,36.016666666666666,Iowa,Physical Attack
Suspected Physical Attack,2012,3/30/2012,ISO New England,Vermont,NPCC,,,"vandalism, physical",0.3333333333333333,Vermont,Physical Attack
Electrical System Separation (Islanding),2012,3/29/2012,Lansing Board of Water & Light,Michigan,RFC,UNK,0,islanding,0.016666666666666666,Michigan,Electrical System Issues
Suspected Physical Attack,2012,3/28/2012,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",0.0,Washington,Physical Attack
Suspected Physical Attack,2012,3/26/2012,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",0.0,Washington,Physical Attack
Suspected Physical Attack,2012,3/23/2012,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",0.0,Delaware,Physical Attack
Severe Weather - Thunderstorms,2012,3/20/2012,CenterPoint Energy,Texas,TRE,,"96,000","severe weather, thunderstorm",5.0,Texas,Severe Weather
Suspected Physical Attack,2012,3/16/2012,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",0.0,Delaware,Physical Attack
Suspected Physical Attack,2012,3/4/2012,Entergy Corporation,Texas,SERC,UNK,UNK,"vandalism, physical",21.366666666666667,Texas,Physical Attack
Suspected Physical Attack,2012,3/4/2012,Potomac Electric Power (Pepco Holdings Inc.),Maryland,RFC,,,"vandalism, physical",5.516666666666667,Maryland,Physical Attack
Severe Weather - Winter Storm,2012,3/2/2012,Consumers Energy,Michigan,RFC,50,"140,000","severe weather, winter storm",44.5,Michigan,Severe Weather
Severe Weather - Winter Storm,2012,3/2/2012,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,371,"130,000","severe weather, winter storm",67.5,Michigan,Severe Weather
Operational Failure/Equipment Malfunction,2012,3/2/2012,"City of Piggott, Arkansas",Arkansas,SERC,,,equipment failure,1.75,Arkansas,Equipment Failures
Severe Weather - Tornadoes,2012,3/2/2012,Tennessee Valley Authority (TVA),Tennessee,SERC,500,UNK,"severe weather, tornado",71.4,Tennessee,Severe Weather
Suspected Physical Attack,2012,2/28/2012,Coos Curry Electric Cooperative,Oregon,WECC,UNK,UNK,"vandalism, physical",0.0,Oregon,Physical Attack
Electrical System Separation (Islanding),2012,2/28/2012,Pacific Gas and Electric,California,WECC,1,1,islanding,3.216666666666667,California,Electrical System Issues
Suspected Physical Attack,2012,2/24/2012,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",0.4166666666666667,Washington,Physical Attack
Suspected Physical Attack,2012,2/23/2012,City of College Station,Texas,TRE,0,0,"vandalism, physical",9.283333333333333,Texas,Physical Attack
Severe Weather - Winter Storm,2012,2/19/2012,American Electric Power,Virginia,SERC,UNK,"90,000","severe weather, winter storm",38.55,Virginia,Severe Weather
Suspected Cyber Attack,2012,2/17/2012,"Entergy Services, Inc",Arkansas,SERC,UNK,UNK,"vandalism, cyber",8.55,Arkansas,Cyber Events
Suspected Physical Attack,2012,2/15/2012,Puget Sound Energy,Washington,WECC,0,0,"vandalism, physical",11.95,Washington,Physical Attack
Suspected Physical Attack,2012,2/14/2012,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",20.666666666666668,Washington,Physical Attack
Suspected Physical Attack,2012,2/11/2012,Xcel Energy (Public Service Company of Colorado),Colorado,WECC,0,0,"vandalism, physical",1.7166666666666666,Colorado,Physical Attack
Suspected Physical Attack,2012,2/11/2012,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",0.0,Washington,Physical Attack
Vandalism,2012,1/29/2012,Tacoma Power (TPWR),Washington,WECC,,,vandalism,0.0,Washington,Physical Attack
Vandalism,2012,1/27/2012,Tacoma Power (TPWR),Washington,WECC,,,vandalism,0.0,Washington,Physical Attack
Vandalism,2012,1/24/2012,Tacoma Power (TPWR),Washington,WECC,,,vandalism,0.0,Washington,Physical Attack
Severe Weather - Winter Storm,2012,1/19/2012,Puget Sound Energy,Washington,WECC,"1,600","426,000","severe weather, winter storm",32.0,Washington,Severe Weather
Suspected Cyber Attack,2012,1/17/2012,"Pedernales Electric Cooperative, Inc.",Texas,TRE,,0,"vandalism, cyber",6.833333333333333,Texas,Cyber Events
Vandalism,2012,1/15/2012,Tacoma Power (TPWR),Washington,WECC,,,vandalism,0.0,Washington,Physical Attack
Physical Attack,2012,1/13/2012,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",0.0,Delaware,Physical Attack
Physical Attack,2012,1/12/2012,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",0.0,Delaware,Physical Attack
Suspected Physical Attack,2012,1/11/2012,Nevada Power Company (NV Energy),Nevada,WECC,0,0,"vandalism, physical",1.8,Nevada,Physical Attack
Load Shed,2012,1/10/2012,Luminant Energy Company LLC,Texas,TRE,,,load shedding,0.0,Texas,Load Shedding
Vandalism,2012,1/9/2012,ISO New England/Convex,Connecticut,NPCC,,,vandalism,1.0,Connecticut,Physical Attack
Load Shed,2012,1/9/2012,The Dow Chemical Company,Louisiana,SERC,150,1,load shedding,35.483333333333334,Louisiana,Load Shedding
Sabotage,2012,1/5/2012,American Electric Power,Oklahoma,SPP,0,0,vandalism,1.8333333333333333,Oklahoma,Physical Attack
Suspected physical attack,2012,1/5/2012,Oklahoma Gas and Electric,Oklahoma,SPP,,,"vandalism, physical",1.95,Oklahoma,Physical Attack
Suspected physical attack,2012,1/4/2012,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",0.0,Washington,Physical Attack
Suspected Physical Attack,2011,12/31/2011,City of Tacoma (TPWR),Washington,WECC,,,"vandalism, physical",0.0,Washington,Physical Attack
Suspected Cyber Attack,2011,12/21/2011,Idaho Power Company,Idaho,WECC,0,0,"vandalism, cyber",0.0,Idaho,Cyber Events
Suspected Physical Attack,2011,12/20/2011,City of Tacoma (TPWR),Washington,WECC,,,"vandalism, physical",0.016666666666666666,Washington,Physical Attack
Suspected Physical Attack,2011,12/20/2011,PacifiCorp,Oregon,WECC,12,"2,500","vandalism, physical",1.0,Oregon,Physical Attack
Suspected Physical Attack,2011,12/19/2011,City of Tacoma (TPWR),Washington,WECC,,,"vandalism, physical",7.2,Washington,Physical Attack
Suspected Physical Attack,2011,12/13/2011,Dayton Power & Light,Ohio,RFC,,0,"vandalism, physical",24.0,Ohio,Physical Attack
Suspected Physical Attack,2011,12/8/2011,City of Tacoma (TPWR),Washington,WECC,,,"vandalism, physical",7.75,Washington,Physical Attack
Severe Weather,2011,12/7/2011,Dominion Virginia Power,Virginia,SERC,240,"60,000",severe weather,3.466666666666667,Virginia,Severe Weather
Suspected Physical Attack,2011,12/6/2011,ITC Holdings,Michigan,RFC,0,0,"vandalism, physical",17.433333333333334,Michigan,Physical Attack
Suspected Physical Attack,2011,12/5/2011,City of Tacoma (TPWR),Washington,WECC,,,"vandalism, physical",27.0,Washington,Physical Attack
Suspected Physical Attack,2011,12/2/2011,Luminant Energy Company LLC,Texas,TRE,,,"vandalism, physical",4.25,Texas,Physical Attack
Severe Weather,2011,12/1/2011,Southern California Edison (SCE),California,WECC,UNK,"91,690",severe weather,152.25,California,Severe Weather
Severe Weather,2011,12/1/2011,PacifiCorp,Utah,WECC,UNK,"60,000",severe weather,27.183333333333334,Utah,Severe Weather
Severe Weather,2011,12/1/2011,Pacific Gas and Electric,California,WECC,300,"100,000",severe weather,33.6,California,Severe Weather
Vandalism,2011,11/30/2011,City of Tacoma - TPWR,Washington,WECC,0,0,vandalism,1.0,Washington,Physical Attack
Severe Weather,2011,11/30/2011,Los Angeles Department of Water and Power,California,WECC,UNK,"150,000",severe weather,41.06666666666666,California,Severe Weather
Suspected Physical Attack,2011,11/22/2011,Northern Indiana Public Service Co,Indiana,RFC,0,0,"vandalism, physical",0.0,Indiana,Physical Attack
Vandalism,2011,11/4/2011,PacifiCorp,Wyoming,WECC,0,0,vandalism,0.0,Wyoming,Physical Attack
Severe Weather,2011,10/29/2011,PPL Electric Utilities,Pennsylvania,RFC,UNK,"146,721",severe weather,130.05,Pennsylvania,Severe Weather
Severe Weather,2011,10/29/2011,Metropolitan Edison Company,Pennsylvania,RFC,UNK,"312,359",severe weather,226.98333333333332,Pennsylvania,Severe Weather
Severe Weather,2011,10/29/2011,Potomac Edison,Pennsylvania,RFC,UNK,"50,000",severe weather,222.01666666666668,Pennsylvania,Severe Weather
Severe Weather,2011,10/29/2011,Exelon Corporation/PECO,Pennsylvania,RFC,UNK,"109,335",severe weather,48.0,Pennsylvania,Severe Weather
Vandalism,2011,10/27/2011,Midwest ISO,Indiana,RFC,,,vandalism,1.6,Indiana,Physical Attack
Severe Weather,2011,10/26/2011,Public Service Company of Colorado,Colorado,WECC,UNK,"204,000",severe weather,34.0,Colorado,Severe Weather
Suspected Physical Attack,2011,10/24/2011,PJM Interconnection,Pennsylvania,RFC,0,0,"vandalism, physical",47.38333333333333,Pennsylvania,Physical Attack
Suspected Physical Attack,2011,10/18/2011,PECO Energy,Pennsylvania,RFC,0,0,"vandalism, physical",1.6666666666666667,Pennsylvania,Physical Attack
Vandalism,2011,10/17/2011,Duke Energy,Ohio,RFC,7,"2,000",vandalism,0.0,Ohio,Physical Attack
Vandalism,2011,10/17/2011,Potomac Electric Power Company,Maryland,RFC,0,0,vandalism,7.133333333333334,Maryland,Physical Attack
Suspected Physical Attack,2011,10/7/2011,City of Tacoma - TPWR,Washington,WECC,,,"vandalism, physical",7.933333333333334,Washington,Physical Attack
Vandalism,2011,10/6/2011,PacifiCorp,Utah,WECC,0,0,vandalism,0.0,Utah,Physical Attack
Suspected Physical Attack,2011,9/30/2011,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",0.0,Delaware,Physical Attack
Vandalism,2011,9/29/2011,City of Tacoma (TPWR),Washington,WECC,,,vandalism,21.266666666666666,Washington,Physical Attack
Severe Weather,2011,9/29/2011,CenterPoint Energy,Texas,TRE,,65000,severe weather,25.0,Texas,Severe Weather
Suspected Physical Attack,2011,9/28/2011,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",0.0,Delaware,Physical Attack
Vandalism,2011,9/28/2011,ISO New England/Convex,Connecticut,NPCC,,,vandalism,3.5,Connecticut,Physical Attack
Vandalism,2011,9/24/2011,City of Tacoma (TPWR),Washington,WECC,,,vandalism,23.716666666666665,Washington,Physical Attack
Vandalism,2011,9/23/2011,The United Illuminating Company,Connecticut,NPCC,0,0,vandalism,0.0,Connecticut,Physical Attack
Vandalism,2011,9/22/2011,Dayton Power & Light,Ohio,RFC,,0,vandalism,0.016666666666666666,Ohio,Physical Attack
Suspected Physical Attack,2011,9/21/2011,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",0.0,Delaware,Physical Attack
Vandalism,2011,9/20/2011,City of Tacoma (TPWR),Washington,WECC,,,vandalism,4.083333333333333,Washington,Physical Attack
Vandalism,2011,9/14/2011,PacifiCorp,Utah,WECC,0,0,vandalism,5.0,Utah,Physical Attack
Vandalism,2011,9/13/2011,City of Tacoma (TPWR),Washington,WECC,,,vandalism,28.28333333333333,Washington,Physical Attack
Vandalism,2011,9/8/2011,City of Tacoma (TPWR),Washington,WECC,,,vandalism,20.116666666666667,Washington,Physical Attack
Transmission/Distribution Interruption; Load Shed; Generation Inadequacy,2011,9/8/2011,WECC Reliability Coordinator,California,WECC,"7,000","2,000,000","transmission interruption, distribution interruption",48.03333333333333,California,Transmission and Distribution Issues
Severe Weather,2011,9/5/2011,Southern Company,Georgia,SERC,177,"53,295",severe weather,47.25,Georgia,Severe Weather
Severe Weather,2011,9/3/2011,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,UNK,"105,000",severe weather,124.0,Michigan,Severe Weather
Vandalism,2011,9/1/2011,City of Tacoma (TPWR),Washington,WECC,,,vandalism,7.783333333333333,Washington,Physical Attack
Suspected Physical Attack,2011,8/31/2011,Duke Energy,Ohio,RFC,0,0,"vandalism, physical",0.0,Ohio,Physical Attack
Suspected Physical Attack,2011,8/28/2011,PacifiCorp,Oregon,WECC,0,0,"vandalism, physical",2.7333333333333334,Oregon,Physical Attack
Severe Weather,2011,8/28/2011,ISO New England,Massachusetts,NPCC,,"50,000",severe weather,0.016666666666666666,Massachusetts,Severe Weather
Severe Weather,2011,8/28/2011,The United illuminating Company,Connecticut,NPCC,,"158,000",severe weather,24.0,Connecticut,Severe Weather
Severe Weather,2011,8/28/2011,PPL Electric Utilities,Pennsylvania,RFC,110,"284,000",severe weather,48.0,Pennsylvania,Severe Weather
Severe Weather,2011,8/27/2011,Baltimore Gas and Electric Company,Maryland,RFC,"1,114","760,113",severe weather,195.0,Maryland,Severe Weather
Severe Weather,2011,8/27/2011,Exelon Corporation / PECO,Pennsylvania,RFC,,"264,000",severe weather,48.0,Pennsylvania,Severe Weather
Severe Weather,2011,8/27/2011,Pepco,Maryland,RFC,,"220,000",severe weather,40.5,Maryland,Severe Weather
Severe Weather,2011,8/27/2011,Dominion Virginia Power,Virginia,SERC,UNK,"1,000,000",severe weather,51.45,Virginia,Severe Weather
Severe Weather,2011,8/27/2011,Delmarva Power & Light Company,Maryland,RFC,,"165,000",severe weather,48.0,Maryland,Severe Weather
Severe Weather,2011,8/27/2011,Southern Maryland Electric Cooperative (SMECO),Maryland,RFC,UNK,"108,000",severe weather,33.0,Maryland,Severe Weather
Severe Weather,2011,8/26/2011,FirstEnergy Corp: Metropolitan Edison Company,Pennsylvania,RFC,,"200,717",severe weather,48.0,Pennsylvania,Severe Weather
Severe Weather,2011,8/25/2011,FirstEnergy Corp: Cleveland Electric Illuminating Company,Ohio,RFC,,"107,833",severe weather,79.5,Ohio,Severe Weather
Suspected Physical Attack,2011,8/25/2011,Central Maine Power Company,Maine,NPCC,0,0,"vandalism, physical",0.0,Maine,Physical Attack
Severe Weather,2011,8/24/2011,American Electric Power (AEP),Texas,SPP,,"53,064",severe weather,7.15,Texas,Severe Weather
Public Appeal to Reduce Electricity Usage,2011,8/24/2011,ERCOT ISO,Texas,TRE,0,0,public appeal,125.66666666666667,Texas,Public Appeal
Severe Weather,2011,8/24/2011,CenterPoint Energy,Texas,TRE,485,"79,000",severe weather,22.25,Texas,Severe Weather
Public Appeal to Reduce Electricity Usage,2011,8/23/2011,ERCOT ISO,Texas,TRE,0,0,public appeal,3.283333333333333,Texas,Public Appeal
Public Appeal to Reduce Electricity Usage,2011,8/23/2011,Southwestern Public Service Company,Texas,SPP,0,0,public appeal,6.4,Texas,Public Appeal
Earthquake,2011,8/23/2011,Dominion Virginia Power,Virginia,RFC,0,0,earthquake,0.0,Virginia,Other
Suspected Physical Attack,2011,8/22/2011,City of Tacoma (TPWR),Washington,WECC,,,"vandalism, physical",5.916666666666667,Washington,Physical Attack
Severe Weather,2011,8/20/2011,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,254,"65,000",severe weather,74.3,Michigan,Severe Weather
Suspected Physical Attack,2011,8/18/2011,City of Tacoma (TPWR),Washington,WECC,,,"vandalism, physical",6.15,Washington,Physical Attack
Vandalism,2011,8/15/2011,PacifiCorp,Utah,WECC,0,0,vandalism,1.5833333333333333,Utah,Physical Attack
Severe Weather,2011,8/13/2011,LG&E and KU Energy LLC,Kentucky,SERC,UNK,"181,700",severe weather,26.316666666666666,Kentucky,Severe Weather
Vandalism,2011,8/9/2011,City of Tacoma (TPWR),Washington,WECC,,,vandalism,6.566666666666666,Washington,Physical Attack
Severe Weather,2011,8/8/2011,Oklahoma Gas & Electric,Oklahoma,SPP,,"54,000",severe weather,43.53333333333333,Oklahoma,Severe Weather
Vandalism,2011,8/8/2011,City of Tacoma (TPWR),Washington,WECC,,,vandalism,6.416666666666667,Washington,Physical Attack
Electrical System Separation (Islanding),2011,8/8/2011,Oklahoma Municipal Power Authority,Oklahoma,SPP,92,"14,500",islanding,16.4,Oklahoma,Electrical System Issues
Suspected Physical Attack,2011,8/8/2011,Dayton Power & Light,Ohio,RFC,0,0,"vandalism, physical",0.0,Ohio,Physical Attack
Public Appeal to Reduce Electricity Usage,2011,8/4/2011,American Electric Power (AEP),Texas,SPP,,,public appeal,5.5,Texas,Public Appeal
Public Appeal to Reduce Electricity Usage,2011,8/3/2011,Grand River Dam Authority,Oklahoma,SPP,300,,public appeal,7.183333333333334,Oklahoma,Public Appeal
Public Appeal to Reduce Electricity Usage,2011,8/3/2011,Entergy,Arkansas,SPP,0,0,public appeal,4.5,Arkansas,Public Appeal
Severe Weather,2011,8/2/2011,Exelon Corporation/ComEd,Illinois,RFC,UNK,"71,500",severe weather,21.5,Illinois,Severe Weather
Public Appeal to Reduce Electricity Usage,2011,8/2/2011,Oklahoma Gas & Electric,Oklahoma,SPP,,,public appeal,23.016666666666666,Oklahoma,Public Appeal
Public Appeal to Reduce Electricity Usage,2011,8/1/2011,ERCOT ISO,Texas,TRE,0,0,public appeal,100.0,Texas,Public Appeal
Vandalism,2011,8/1/2011,PacificCorp,Oregon,WECC,,,vandalism,0.0,Oregon,Physical Attack
Vandalism,2011,7/29/2011,City of Tacoma (TPWR),Washington,WECC,,,vandalism,5.233333333333333,Washington,Physical Attack
Vandalism,2011,7/28/2011,City of Tacoma (TPWR),Washington,WECC,,,vandalism,0.0,Washington,Physical Attack
Vandalism,2011,7/28/2011,Northern Indiana Public Service Company (NIPSCO),Indiana,RFC,,,vandalism,0.0,Indiana,Physical Attack
Severe Weather,2011,7/28/2011,Exelon Corporation/ComEd,Indiana,RFC,UNK,"201,000",severe weather,23.766666666666666,Indiana,Severe Weather
Fuel Supply Deficiency (Coal),2011,7/28/2011,Owensboro Municipal Utilities,Kentucky,SERC,,,"fuel supply emergency, coal",24.0,Kentucky,Fuel Supply Emergency
Vandalism,2011,7/27/2011,Tacoma Power (TPWR),Washington,WECC,,,vandalism,0.016666666666666666,Washington,Physical Attack
Vandalism,2011,7/26/2011,Western Farmers Electric Cooperative,Oklahoma,SPP,0,0,vandalism,0.0,Oklahoma,Physical Attack
Severe Weather,2011,7/23/2011,Exelon Corporation/ComEd,Illinois,RFC,UNK,"169,000",severe weather,30.5,Illinois,Severe Weather
